date,benzina,gasolio
2005-01-03,1.11575,1.01828
2005-01-10,1.088,1.00439
2005-01-17,1.08814,1.00431
2005-01-24,1.09001,1.00431
2005-01-31,1.13211,1.0226
2005-02-07,1.13587,1.02267
2005-02-14,1.13588,1.02246
2005-02-21,1.13604,1.02279
2005-02-28,1.13604,1.02285
2005-03-07,1.15878,1.04759
2005-03-14,1.1859,1.07272
2005-03-21,1.18598,1.07286
2005-04-04,1.18792,1.07463
2005-04-11,1.23635,1.1228
2005-04-18,1.23635,1.1228
2005-04-25,1.23489,1.12145
2005-05-02,1.23489,1.09292
2005-05-09,1.21538,1.07272
2005-05-16,1.20112,1.06262
2005-05-23,1.18626,1.05268
2005-05-30,1.18626,1.05268
2005-06-06,1.19786,1.07455
2005-06-13,1.21626,1.10235
2005-06-20,1.21644,1.10403
2005-06-27,1.23119,1.12085
2005-07-04,1.24579,1.13105
2005-07-11,1.24615,1.13197
2005-07-18,1.24767,1.13337
2005-07-25,1.2457,1.13213
2005-08-01,1.24626,1.13213
2005-08-08,1.24626,1.13282
2005-08-22,1.2756,1.15726
2005-08-29,1.27705,1.1579
2005-09-05,1.30689,1.17913
2005-09-12,1.32984,1.2069
2005-09-19,1.29646,1.17861
2005-09-26,1.29342,1.17767
2005-10-03,1.33522,1.2171
2005-10-10,1.33786,1.21809
2005-10-17,1.33407,1.21671
2005-10-24,1.29558,1.20815
2005-10-31,1.25681,1.16902
2005-11-07,1.25508,1.16734
2005-11-14,1.24595,1.13833
2005-11-21,1.22662,1.11846
2005-11-28,1.22619,1.11846
2005-12-05,1.20721,1.10809
2005-12-12,1.21449,1.11485
2005-12-19,1.22803,1.12836
2006-01-02,1.21722,1.11779
2006-01-09,1.25571,1.15576
2006-01-16,1.2597,1.15703
2006-01-23,1.26008,1.15696
2006-01-30,1.26032,1.15735
2006-02-06,1.25818,1.15727
2006-02-13,1.25792,1.15727
2006-02-20,1.22836,1.1372
2006-02-27,1.22636,1.13798
2006-03-06,1.25601,1.16702
2006-03-13,1.25601,1.16715
2006-03-20,1.26181,1.1691
2006-03-27,1.26148,1.16946
2006-04-03,1.28665,1.16951
2006-04-10,1.28998,1.16961
2006-04-24,1.33802,1.20809
2006-05-01,1.34206,1.21084
2006-05-02,1.34206,1.21084
2006-05-08,1.34529,1.21262
2006-05-15,1.34422,1.20203
2006-05-22,1.33734,1.19822
2006-05-29,1.33581,1.19647
2006-06-05,1.3364,1.19699
2006-06-12,1.33672,1.19712
2006-06-19,1.33672,1.19712
2006-06-26,1.33672,1.19712
2006-07-03,1.35409,1.19712
2006-07-10,1.36711,1.20187
2006-07-17,1.38508,1.20726
2006-07-24,1.38742,1.20726
2006-07-31,1.38716,1.20643
2006-08-07,1.38858,1.20643
2006-08-14,1.38948,1.20669
2006-08-21,1.36207,1.20702
2006-08-28,1.32995,1.20681
2006-09-04,1.29331,1.18855
2006-09-11,1.27134,1.1776
2006-09-18,1.25156,1.1584
2006-09-25,1.23152,1.12868
2006-10-02,1.23016,1.12714
2006-10-09,1.22003,1.11696
2006-10-16,1.21979,1.11696
2006-10-23,1.21979,1.11696
2006-10-30,1.21979,1.11702
2006-11-06,1.22003,1.11681
2006-11-13,1.21993,1.11614
2006-11-20,1.21878,1.11376
2006-11-27,1.21889,1.11387
2006-12-04,1.21922,1.11387
2006-12-11,1.21922,1.11387
2006-12-18,1.21922,1.11387
2007-01-08,1.21868,1.11429
2007-01-15,1.20769,1.09803
2007-01-22,1.19879,1.07986
2007-01-29,1.19822,1.07972
2007-02-05,1.19859,1.07934
2007-02-12,1.20079,1.08168
2007-02-19,1.20146,1.08207
2007-02-26,1.22166,1.09783
2007-03-05,1.23149,1.09976
2007-03-12,1.24127,1.10892
2007-03-19,1.24075,1.10892
2007-03-26,1.24043,1.10845
2007-04-02,1.2564,1.11386
2007-04-16,1.27621,1.12727
2007-04-23,1.27961,1.12812
2007-04-30,1.29363,1.12871
2007-05-07,1.30943,1.1293
2007-05-14,1.31283,1.129
2007-05-21,1.32655,1.13189
2007-05-28,1.34273,1.13933
2007-06-04,1.34385,1.14778
2007-06-11,1.34621,1.15077
2007-06-18,1.34614,1.1519
2007-06-25,1.35093,1.15635
2007-07-02,1.35109,1.15781
2007-07-09,1.35235,1.15859
2007-07-16,1.35888,1.1644
2007-07-23,1.3567,1.16432
2007-07-30,1.34853,1.1725
2007-08-06,1.33293,1.18224
2007-08-13,1.3024,1.17441
