date,usd_eur
2005-01-02,0.766
2005-01-09,0.763
2005-01-16,0.7664
2005-01-23,0.7667
2005-01-30,0.7768
2005-02-06,0.7774
2005-02-13,0.7651
2005-02-20,0.7551
2005-02-27,0.7552
2005-03-06,0.7433
2005-03-13,0.751
2005-03-20,0.7716
2005-03-27,0.7748
2005-04-03,0.7731
2005-04-10,0.7747
2005-04-17,0.7653
2005-04-24,0.7768
2005-05-01,0.7801
2005-05-08,0.7924
2005-05-15,0.7965
2005-05-22,0.7955
2005-05-29,0.8175
2005-06-05,0.825
2005-06-12,0.8138
2005-06-19,0.827
2005-06-26,0.8367
2005-07-03,0.8352
2005-07-10,0.831
2005-07-17,0.8289
2005-07-24,0.8244
2005-07-31,0.809
2005-08-07,0.8044
2005-08-14,0.823
2005-08-21,0.8144
2005-08-28,0.7984
2005-09-04,0.806
2005-09-11,0.8173
2005-09-18,0.8307
2005-09-25,0.8311
2005-10-02,0.8251
2005-10-09,0.8283
2005-10-16,0.8369
2005-10-23,0.8287
2005-10-30,0.8459
2005-11-06,0.853
2005-11-13,0.8497
2005-11-20,0.8531
2005-11-27,0.8536
2005-12-04,0.8468
2005-12-11,0.8323
2005-12-18,0.8421
2005-12-25,0.8442
2006-01-01,0.823
2006-01-08,0.8244
2006-01-15,0.824
2006-01-22,0.8264
2006-01-29,0.8317
2006-02-05,0.8404
2006-02-12,0.8381
2006-02-19,0.8423
2006-02-26,0.8307
2006-03-05,0.8393
2006-03-12,0.8204
2006-03-19,0.831
2006-03-26,0.8252
2006-04-02,0.8271
2006-04-09,0.8258
2006-04-16,0.8102
2006-04-23,0.7915
2006-04-30,0.7857
2006-05-07,0.7731
2006-05-14,0.7829
2006-05-21,0.7853
2006-05-28,0.774
2006-06-04,0.7909
2006-06-11,0.7909
2006-06-18,0.7992
2006-06-25,0.7818
2006-07-02,0.7806
2006-07-09,0.7905
2006-07-16,0.7875
2006-07-23,0.7835
2006-07-30,0.7769
2006-08-06,0.7862
2006-08-13,0.7796
2006-08-20,0.7841
2006-08-27,0.779
2006-09-03,0.789
2006-09-10,0.7906
2006-09-17,0.7825
2006-09-24,0.7892
2006-10-01,0.7937
2006-10-08,0.7989
2006-10-15,0.7928
2006-10-22,0.7848
2006-10-29,0.7863
2006-11-05,0.7786
2006-11-12,0.7796
2006-11-19,0.7638
2006-11-26,0.7499
2006-12-03,0.7574
2006-12-10,0.7645
2006-12-17,0.7608
2006-12-24,0.7575
2006-12-31,0.7689
2007-01-07,0.7741
2007-01-14,0.7712
2007-01-21,0.7741
2007-01-28,0.7712
2007-02-04,0.7689
2007-02-11,0.7611
2007-02-18,0.7594
2007-02-25,0.758
2007-03-04,0.7626
2007-03-11,0.7511
2007-03-18,0.7528
2007-03-25,0.7486
2007-04-01,0.7474
2007-04-08,0.7392
2007-04-15,0.7358
2007-04-22,0.7325
2007-04-29,0.7358
2007-05-06,0.7392
2007-05-13,0.7403
2007-05-20,0.744
2007-05-27,0.7436
2007-06-03,0.7478
2007-06-10,0.747
2007-06-17,0.7425
2007-06-24,0.7385
2007-07-01,0.7338
2007-07-08,0.7255
2007-07-15,0.7232
2007-07-22,0.7335
2007-07-29,0.7261
2007-08-05,0.7303
2007-08-12,0.7421
2007-08-19,0.7309
2007-08-26,0.7337
2007-09-02,0.7263
2007-09-09,0.7207
2007-09-16,0.7097
2007-09-23,0.7007
2007-09-30,0.7075
2007-10-07,0.7053
2007-10-14,0.699
2007-10-21,0.6947
2007-10-28,0.6893
2007-11-04,0.6814
2007-11-11,0.6823
2007-11-18,0.674
2007-11-25,0.6834
2007-12-02,0.6823
2007-12-09,0.6935
2007-12-16,0.6962
2007-12-23,0.6796
2007-12-30,0.6783
2008-01-06,0.6768
2008-01-13,0.6844
2008-01-20,0.6816
2008-01-27,0.6758
2008-02-03,0.6892
2008-02-10,0.6812
2008-02-17,0.6743
2008-02-24,0.6587
2008-03-02,0.6515
2008-03-09,0.638
2008-03-16,0.648
2008-03-23,0.6329
2008-03-30,0.6355
2008-04-06,0.6327
2008-04-13,0.6323
2008-04-20,0.64
2008-04-27,0.6483
2008-05-04,0.6459
2008-05-11,0.642
2008-05-18,0.6343
2008-05-25,0.643
2008-06-01,0.6338
2008-06-08,0.6503
2008-06-15,0.6408
2008-06-22,0.6332
2008-06-29,0.6367
2008-07-06,0.6273
2008-07-13,0.631
2008-07-20,0.6365
2008-07-27,0.6424
2008-08-03,0.6664
2008-08-10,0.6809
2008-08-17,0.676
2008-08-24,0.6815
2008-08-31,0.7009
2008-09-07,0.7028
2008-09-14,0.6913
2008-09-21,0.6843
2008-09-28,0.7262
2008-10-05,0.7455
2008-10-12,0.7458
2008-10-19,0.7922
2008-10-26,0.7854
2008-11-02,0.785
2008-11-09,0.7948
2008-11-16,0.7948
2008-11-23,0.7875
2008-11-30,0.7854
2008-12-07,0.7478
2008-12-14,0.7188
2008-12-21,0.7111
2008-12-28,0.7206
2009-01-04,0.7444
2009-01-11,0.7516
2009-01-18,0.7696
2009-01-25,0.7827
2009-02-01,0.7732
2009-02-08,0.7773
2009-02-15,0.7786
2009-02-22,0.7892
2009-03-01,0.7911
2009-03-08,0.7737
2009-03-15,0.7363
2009-03-22,0.7519
2009-03-29,0.7417
2009-04-05,0.7583
2009-04-12,0.7668
2009-04-19,0.7545
2009-04-26,0.7538
2009-05-03,0.7328
2009-05-10,0.741
2009-05-17,0.7146
2009-05-24,0.7066
2009-05-31,0.7156
2009-06-07,0.7131
2009-06-14,0.7172
2009-06-21,0.7116
2009-06-28,0.7162
2009-07-05,0.7178
2009-07-12,0.7092
2009-07-19,0.704
2009-07-26,0.7018
2009-08-02,0.7049
2009-08-09,0.704
2009-08-16,0.6982
2009-08-23,0.6994
2009-08-30,0.6997
2009-09-06,0.6864
2009-09-13,0.6798
2009-09-20,0.6809
2009-09-27,0.6863
2009-10-04,0.6788
2009-10-11,0.6708
2009-10-18,0.6666
2009-10-25,0.6795
2009-11-01,0.6735
2009-11-08,0.6703
2009-11-15,0.6728
2009-11-22,0.6682
2009-11-29,0.6734
2009-12-06,0.6839
2009-12-13,0.697
2009-12-20,0.6946
2009-12-27,0.6981
2010-01-03,0.6938
2010-01-10,0.6951
2010-01-17,0.7076
2010-01-24,0.7212
2010-01-31,0.7318
2010-02-07,0.7344
2010-02-14,0.7345
2010-02-21,0.7339
2010-02-28,0.7341
2010-03-07,0.7267
2010-03-14,0.7389
2010-03-21,0.7455
2010-03-28,0.7405
2010-04-04,0.7408
2010-04-11,0.7408
2010-04-18,0.7471
2010-04-25,0.752
2010-05-02,0.7836
2010-05-09,0.8089
2010-05-16,0.7954
2010-05-23,0.815
2010-05-30,0.835
2010-06-06,0.8256
2010-06-13,0.8073
2010-06-20,0.8079
2010-06-27,0.796
2010-07-04,0.7913
2010-07-11,0.7732
2010-07-18,0.7748
2010-07-25,0.7664
2010-08-01,0.7528
2010-08-08,0.7842
2010-08-15,0.7869
2010-08-22,0.7834
2010-08-29,0.7755
2010-09-05,0.7887
2010-09-12,0.7664
2010-09-19,0.7413
2010-09-26,0.7251
2010-10-03,0.7172
2010-10-10,0.7153
2010-10-17,0.7168
2010-10-24,0.7169
2010-10-31,0.7126
2010-11-07,0.7303
2010-11-14,0.7307
2010-11-21,0.7551
2010-11-28,0.7455
2010-12-05,0.7557
2010-12-12,0.7583
2010-12-19,0.7623
2010-12-26,0.7474
2011-01-02,0.7746
2011-01-09,0.7476
2011-01-16,0.7343
2011-01-23,0.7345
2011-01-30,0.736
2011-02-06,0.7382
2011-02-13,0.7299
2011-02-20,0.7272
2011-02-27,0.7151
2011-03-06,0.719
2011-03-13,0.7052
2011-03-20,0.7101
2011-03-27,0.7027
2011-04-03,0.6906
2011-04-10,0.6929
2011-04-17,0.6869
2011-04-24,0.6756
2011-05-01,0.6988
2011-05-08,0.7082
2011-05-15,0.7065
2011-05-22,0.6982
2011-05-29,0.6832
2011-06-05,0.697
2011-06-12,0.6988
2011-06-19,0.7046
2011-06-26,0.6885
2011-07-03,0.7008
2011-07-10,0.7066
2011-07-17,0.6966
2011-07-24,0.6947
2011-07-31,0.7002
2011-08-07,0.7018
2011-08-14,0.6946
2011-08-21,0.6897
2011-08-28,0.704
2011-09-04,0.7324
2011-09-11,0.7247
2011-09-18,0.7409
2011-09-25,0.7471
2011-10-02,0.7475
2011-10-09,0.7206
2011-10-16,0.7196
2011-10-23,0.7068
2011-10-30,0.7249
2011-11-06,0.7272
2011-11-13,0.74
2011-11-20,0.7555
2011-11-27,0.7462
2011-12-04,0.7475
2011-12-11,0.7671
2011-12-18,0.7666
2011-12-25,0.7728
2012-01-01,0.7862
2012-01-08,0.7891
2012-01-15,0.7732
2012-01-22,0.7561
2012-01-29,0.7608
2012-02-05,0.7587
2012-02-12,0.7604
2012-02-19,0.7431
2012-02-26,0.7577
2012-03-04,0.7623
2012-03-11,0.7591
2012-03-18,0.7534
2012-03-25,0.7494
2012-04-01,0.7636
2012-04-08,0.7647
2012-04-15,0.7563
2012-04-22,0.7545
2012-04-29,0.7643
2012-05-06,0.7742
2012-05-13,0.7823
2012-05-20,0.7989
2012-05-27,0.8043
2012-06-03,0.7989
2012-06-10,0.7913
2012-06-17,0.7956
2012-06-24,0.7899
2012-07-01,0.8138
2012-07-08,0.8162
2012-07-15,0.8227
2012-07-22,0.8116
2012-07-29,0.8072
2012-08-05,0.8135
2012-08-12,0.8107
2012-08-19,0.7992
2012-08-26,0.7949
2012-09-02,0.7801
2012-09-09,0.7617
2012-09-16,0.7706
2012-09-23,0.7778
2012-09-30,0.7673
2012-10-07,0.772
2012-10-14,0.7677
2012-10-21,0.7725
2012-10-28,0.7791
