DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2005-01-03,"1.115,75","1.018,28","552,5",,,"948,5","553,25","229,52"
2005-01-10,1.088,"1.004,39","552,57",,,"947,94","554,22","238,37"
2005-01-17,"1.088,14","1.004,31","551,88",,,"952,42","562,78","245,89"
2005-01-24,"1.090,01","1.004,31","551,88",,,"963,98","573,42","243,84"
2005-01-31,"1.132,11","1.022,6","551,88",,,"972,95","579,23","242,53"
2005-02-07,"1.135,87","1.022,67","551,88",,,"955,66","565,28","250,24"
2005-02-14,"1.135,88","1.022,46","551,88",,,"963,5","567,19","246,86"
2005-02-21,"1.136,04","1.022,79","551,88",,,"968,29","567,01","242,84"
2005-02-28,"1.136,04","1.022,85","551,88",,,"989,42","571,97","258,17"
2005-03-07,"1.158,78","1.047,59","552,37",,,"1.012,05","587,08","266,79"
2005-03-14,"1.185,9","1.072,72","553,56",,,1.007,"587,2","273,09"
2005-03-21,"1.185,98","1.072,86","553,56",,,"1.014,9","589,28","276,86"
2005-04-04,"1.187,92","1.074,63","553,56",,,"1.025,15","603,17","289,78"
2005-04-11,"1.236,35","1.122,8","553,81",,,"1.030,84","608,22","313,53"
2005-04-18,"1.236,35","1.122,8","553,81",,,"1.018,49","602,77","289,2"
2005-04-25,"1.234,89","1.121,45","553,81",,,"1.016,08","605,23","294,82"
2005-05-02,"1.234,89","1.092,92","553,2",,,"1.008,37","600,28","289,41"
2005-05-09,"1.215,38","1.072,72","553,2",,,"1.000,75","592,43","279,99"
2005-05-16,"1.201,12","1.062,62","553,2",,,"986,34","578,27","284,06"
2005-05-23,"1.186,26","1.052,68","553,2",,,"990,43","585,79","292,33"
2005-05-30,"1.186,26","1.052,68","553,2",,,1.001,"594,08","287,22"
2005-06-06,"1.197,86","1.074,55","553,2",,,"1.024,37","600,94","290,06"
2005-06-13,"1.216,26","1.102,35","553,2",,,"1.039,01","610,85","292,25"
2005-06-20,"1.216,44","1.104,03","553,2",,,"1.050,01","617,81","311,35"
2005-06-27,"1.231,19","1.120,85","553,2",,,"1.059,54","635,86","328,78"
2005-07-04,"1.245,79","1.131,05","553,44",,,"1.064,42","645,06","316,56"
2005-07-11,"1.246,15","1.131,97","553,44",,,"1.081,69","647,88","329,41"
2005-07-18,"1.247,67","1.133,37","553,44",,,"1.072,66","645,16","325,33"
2005-07-25,"1.245,7","1.132,13","553,44",,,"1.056,69","647,26","319,07"
2005-08-01,"1.246,26","1.132,13","553,44",,,"1.062,67","639,43","321,7"
2005-08-08,"1.246,26","1.132,82","553,44",,,"1.065,31","649,28","321,56"
2005-08-22,"1.275,6","1.157,26","555,16",,,"1.087,73","646,84","326,21"
2005-08-29,"1.277,05","1.157,9","555,16",,,"1.111,53","665,08","329,28"
2005-09-05,"1.306,89","1.179,13","555,16",,,"1.148,23","688,76","359,42"
2005-09-12,"1.329,84","1.206,9","578,22",,,"1.121,71",677,"350,45"
2005-09-19,"1.296,46","1.178,61",579,,,"1.124,51","685,98","356,72"
2005-09-26,"1.293,42","1.177,67","579,54",,,"1.134,44","699,53","373,2"
